行业,富豪数量,总财富,平均财富
电信运营,1,54.0,54.0
电信,1,750.0,750.0
垃圾发电,1,110.0,110.0
半导体材料,1,65.0,65.0
半导体器件,1,55.0,55.0
医药零售,1,70.0,70.0
医药流通,1,60.0,60.0
医药、零售、投资,1,355.0,355.0
医药、电子新材料,1,215.0,215.0
医药、房地产,1,65.0,65.0
电竞游戏,1,100.0,100.0
电池、投资,1,80.0,80.0
电池、房地产、影视、投资,1,55.0,55.0
电气设备制造、太阳能,1,85.0,85.0
电气设备、房地产,1,80.0,80.0
电气机械和器材制造,1,75.0,75.0
电气机械和器材,1,75.0,75.0
电梯、锅炉、房地产,1,150.0,150.0
电子配件,1,60.0,60.0
社交媒体,1,3500.0,3500.0
碳素、钢铁、煤焦,1,405.0,405.0
矿产、化工,1,110.0,110.0
矿业开发、冶金贸易,1,60.0,60.0
矿业、酒店,1,60.0,60.0
石英制品,1,85.0,85.0
石油专用设备,1,70.0,70.0
石材、房地产,1,65.0,65.0
电解铝、氧化铝,1,1450.0,1450.0
电网自动化,1,50.0,50.0
电缆、热能电力、投资,1,220.0,220.0
电缆、房地产、医药,1,68.0,68.0
电缆、医药、房地产,1,50.0,50.0
卫星导航,1,60.0,60.0
半导体设备,1,55.0,55.0
半导体芯片,1,170.0,170.0
医疗器械制造、销售,1,80.0,80.0
医疗器械、房地产,1,950.0,950.0
医疗保健,1,95.0,95.0
北京,1,59.0,59.0
化纤、石化、房地产,1,1250.0,1250.0
化纤、房地产,1,90.0,90.0
化工新材料,1,135.0,135.0
化工塑料,1,125.0,125.0
化工原料,1,110.0,110.0
网游、影视娱乐,1,145.0,145.0
绿色建材、新能源,1,255.0,255.0
纺织材料,1,53.0,53.0
纺织、房地产、投资,1,50.0,50.0
精密铸件,1,135.0,135.0
空调设备,1,60.0,60.0
稀散金属,1,90.0,90.0
化学原料制品,1,120.0,120.0
化学原料,1,75.0,75.0
动漫,1,150.0,150.0
办公家具、房地产,1,210.0,210.0
制药、医药流通,1,130.0,130.0
制药,1,105.0,105.0
制糖业,1,50.0,50.0
能源、零售,1,170.0,170.0
能源、化工,1,280.0,280.0
肿瘤检测,1,52.0,52.0
耐用消费品,1,71.0,71.0
耐火材料、钢铁、矿业,1,110.0,110.0
美妆日用品连锁店,1,50.0,50.0
医疗用品,1,100.0,100.0
医疗机械,1,65.0,65.0
医疗大数据、基因检测,1,55.0,55.0
货运物流,1,170.0,170.0
财税软件,1,55.0,55.0
财务软件,1,60.0,60.0
计算机服务、投资,1,80.0,80.0
计算机技术,1,50.0,50.0
视频软件,1,245.0,245.0
视频弹幕网站,1,60.0,60.0
虚拟货币交易所,1,1350.0,1350.0
芯片研发,1,71.0,71.0
芯片、矿机,1,95.0,95.0
节能灯,1,115.0,115.0
航运,1,290.0,290.0
航空设备,1,50.0,50.0
化工、铜加工、电线电缆,1,110.0,110.0
化工、钢铁,1,80.0,80.0
化学品原料,1,60.0,60.0
造纸,1,180.0,180.0
通信部件、电子元器件,1,165.0,165.0
通信部件,1,55.0,55.0
通信设备元件,1,55.0,55.0
轻纺、房地产、投资,1,140.0,140.0
软件系统,1,63.0,63.0
软件和信息技术服务业,1,65.0,65.0
软件和信息技术,1,75.0,75.0
软件与信息技术服务,1,195.0,195.0
软件、电子通讯产品,1,185.0,185.0
轮胎、输送带、电力,1,90.0,90.0
轮胎、电缆、化工,1,130.0,130.0
超市零售,1,65.0,65.0
超净产品,1,480.0,480.0
贸易、房地产,1,110.0,110.0
购物网站,1,2450.0,2450.0
农业、造纸、矿产,1,67.0,67.0
农业、化工、金融,1,690.0,690.0
农业,1,90.0,90.0
光纤光缆,1,65.0,65.0
光电子元器件,1,71.0,71.0
光学光电,1,80.0,80.0
光伏电池,1,80.0,80.0
光伏产品,1,145.0,145.0
光伏,1,180.0,180.0
充电服务,1,50.0,50.0
金属结构制造业,1,55.0,55.0
金属增材制造,1,65.0,65.0
金属回收,1,50.0,50.0
重型工程用车,1,65.0,65.0
酒业、投资,1,290.0,290.0
造船,1,150.0,150.0
钢铁、酒店,1,50.0,50.0
钢铁、煤化工,1,205.0,205.0
钢铁、投资,1,105.0,105.0
钢铁、天然气,1,125.0,125.0
钢铁、冶金、机械,1,80.0,80.0
钢结构产品,1,60.0,60.0
钢材贸易、房地产,1,50.0,50.0
钛白粉、磷化工,1,100.0,100.0
钒钛磁铁矿,1,80.0,80.0
金融软件,1,115.0,115.0
金融、在线游戏、投资,1,325.0,325.0
金融、医院,1,100.0,100.0
金融,1,95.0,95.0
金矿,1,100.0,100.0
农药化肥、房地产,1,60.0,60.0
农副食品加工业,1,105.0,105.0
食用调味品,1,120.0,120.0
五金配件,1,125.0,125.0
互联网技术,1,2000.0,2000.0
互联网医院,1,95.0,95.0
乳制品,1,90.0,90.0
专用设备制造业,1,100.0,100.0
专业无线通信设备,1,55.0,55.0
不锈钢,1,80.0,80.0
上网平台,1,230.0,230.0
SaaS解决方案,1,110.0,110.0
CMOS图像传感器,1,125.0,125.0
锂电池结构件,1,65.0,65.0
信息服务,1,410.0,410.0
信息、金融、投资,1,110.0,110.0
保健酒,1,165.0,165.0
保健品,1,130.0,130.0
面粉,1,68.0,68.0
零售、房地产、物流,1,415.0,415.0
零售,1,185.0,185.0
集成电路,1,100.0,100.0
陶瓷材料,1,65.0,65.0
防水材料,1,130.0,130.0
人工智能芯片,1,320.0,320.0
食品饮料,1,510.0,510.0
高压油缸,1,500.0,500.0
高分子材料,1,50.0,50.0
香精香料、烟草,1,225.0,225.0
香料、酒业,1,80.0,80.0
饲料、种业,1,100.0,100.0
饮料、地产,1,800.0,800.0
饮料、医疗保健,1,3400.0,3400.0
餐饮设备,1,57.0,57.0
